Entreprise,Date,Département,TypeTransaction,TypeDépense,Montant,DepartementID,Responsable,Client_Fournisseur,Projet,Année,Mois,Trimestre,YearMonth,AnnéeFiscale,JourSemaine,Montant_Signe,Semaine,JourAnnée
Tunisie Telecom,2023-07-19,Ventes,Revenu,N/A,57823.924,DEPT001,Marwen Guesmi,Attijari Bank,Matériel_Bureau,2023,7,3,2023-07,2023,Wednesday,57823.924,29,200
Tunisie Telecom,2025-12-11,Logistique,Dépense,Stockage,15432.67,DEPT008,Rim Trabelsi,Laboratoire_Télécom_TN,Projet_Digitalisation,2025,12,4,2025-12,2025,Thursday,-15432.67,50,345
Tunisie Telecom,2024-11-14,R&D,Dépense,Brevets,19006.244,DEPT004,Hedi Lahmar,SSII_Tunisie,Licences_ERP,2024,11,4,2024-11,2024,Thursday,-19006.244,46,319
Tunisie Telecom,2025-05-24,Marketing,Dépense,Événements,1835.525,DEPT002,Mohamed Masmoudi,Fournisseur_Fibre_Optique,Audit_Externe,2025,5,2,2025-05,2025,Saturday,-1835.525,21,144
Tunisie Telecom,2023-07-23,Marketing,Dépense,Campagnes,11551.697,DEPT002,Sami Nciri,Employés_TT,Carburant_Flotte,2023,7,3,2023-07,2023,Sunday,-11551.697,29,204
Tunisie Telecom,2025-06-26,Ressources Humaines,Dépense,Avantages,14533.238,DEPT005,Sana Ferchichi,Palais_Congrès_TN,Campagne_Marketing_Eté,2025,6,2,2025-06,2025,Thursday,-14533.238,26,177
Tunisie Telecom,2025-12-15,Ventes,Dépense,Déplacements,16738.814,DEPT001,Marwa Mansouri,SSII_Tunisie,Création_Graphique,2025,12,4,2025-12,2025,Monday,-16738.814,51,349
Tunisie Telecom,2025-12-17,Logistique,Dépense,Emballage,24178.177,DEPT008,Salma Nciri,Helpdesk_TN,Logistique_Industrielle,2025,12,4,2025-12,2025,Wednesday,-24178.177,51,351
Tunisie Telecom,2024-03-05,Marketing,Revenu,N/A,5051.321,DEPT002,Youssef Ben Salem,Huawei Tunisie,Contrat_International,2024,3,1,2024-03,2024,Tuesday,5051.321,10,65
Tunisie Telecom,2024-03-29,Logistique,Revenu,N/A,74640.142,DEPT008,Amine Dahmani,Union_Bancaire,Formation_Employés,2024,3,1,2024-03,2024,Friday,74640.142,13,89
Tunisie Telecom,2023-06-25,Ressources Humaines,Revenu,N/A,30617.608,DEPT005,Rami Trabelsi,Ministère TIC,Déploiement_Réseau,2023,6,2,2023-06,2023,Sunday,30617.608,25,176
Tunisie Telecom,2023-12-04,Finance,Dépense,Audit,9283.698,DEPT007,Henda Chaabane,Bureau_Plus_TN,Formation_Employés,2023,12,4,2023-12,2023,Monday,-9283.698,49,338
Tunisie Telecom,2024-08-26,Production,Dépense,Transport,11470.451,DEPT003,Rami Masmoudi,Carton_Tunisie,Matériel_Emballage,2024,8,3,2024-08,2024,Monday,-11470.451,35,239
Tunisie Telecom,2024-10-13,Logistique,Revenu,N/A,48710.582,DEPT008,Nadia Gharbi,Maroc Telecom,Maintenance_Réseau,2024,10,4,2024-10,2024,Sunday,48710.582,41,287
Tunisie Telecom,2024-11-02,Ventes,Dépense,Événements,5049.504,DEPT001,Sonia Ben Amor,Université_Mannouba,Extension_Réseau,2024,11,4,2024-11,2024,Saturday,-5049.504,44,307
Tunisie Telecom,2023-09-09,Ressources Humaines,Dépense,Formation,24339.12,DEPT005,Rami Sassi,Facebook_Ads_TN,Stratégie_2023,2023,9,3,2023-09,2023,Saturday,-24339.12,36,252
Tunisie Telecom,2025-07-03,Ressources Humaines,Dépense,Salaires,18675.627,DEPT005,Hassan Mansouri,Agence_Marketing_TN,Contrat_International,2025,7,3,2025-07,2025,Thursday,-18675.627,27,184
Tunisie Telecom,2025-01-08,Production,Revenu,N/A,26818.608,DEPT003,Sonia Dahmani,Attijari Bank,Recherche_5G,2025,1,1,2025-01,2025,Wednesday,26818.608,2,8
Tunisie Telecom,2024-12-30,Logistique,Revenu,N/A,43457.428,DEPT008,Karim Dahmani,Zitouna Bank,Fournitures_Bureau,2024,12,4,2024-12,2024,Monday,43457.428,1,365
Tunisie Telecom,2025-01-15,IT,Dépense,Cloud,1877.565,DEPT006,Yasmine Masmoudi,Centre_Formation_Ventes,Campagne_4G_2023,2025,1,1,2025-01,2025,Wednesday,-1877.565,3,15
Tunisie Telecom,2024-02-10,Production,Revenu,N/A,18304.471,DEPT003,Ahmed Karray,La Poste Tunisienne,Cotisations_Sociales,2024,2,1,2024-02,2024,Saturday,18304.471,6,41
Tunisie Telecom,2024-06-02,IT,Revenu,N/A,62060.954,DEPT006,Karim Bouaziz,UBCI,Matériel_Bureau,2024,6,2,2024-06,2024,Sunday,62060.954,22,154
Tunisie Telecom,2024-07-15,Ressources Humaines,Dépense,Recrutement,6028.022,DEPT005,Fatma Trabelsi,Bureau_Plus_TN,Innovation_5G,2024,7,3,2024-07,2024,Monday,-6028.022,29,197
Tunisie Telecom,2024-08-22,Ressources Humaines,Dépense,Formation,3083.439,DEPT005,Ali Rezgui,Transport_TN,Campagne_4G_2023,2024,8,3,2024-08,2024,Thursday,-3083.439,34,235
Tunisie Telecom,2024-12-09,Ressources Humaines,Revenu,N/A,39767.639,DEPT005,Mouna Sassi,BH Bank,Recherche_5G,2024,12,4,2024-12,2024,Monday,39767.639,50,344
Tunisie Telecom,2025-03-18,Ressources Humaines,Dépense,Événements internes,24974.84,DEPT005,Sonia Nciri,Société_Maintenance_TN,Protection_IP,2025,3,1,2025-03,2025,Tuesday,-24974.84,12,77
Tunisie Telecom,2023-07-16,Marketing,Revenu,N/A,65171.93,DEPT002,Tarek Nciri,BH Bank,Campagne_Digitale_Q4,2023,7,3,2023-07,2023,Sunday,65171.93,28,197
Tunisie Telecom,2023-04-24,Ressources Humaines,Revenu,N/A,62640.653,DEPT005,Sami Kchaou,Nokia Tunisie,Recherche_5G,2023,4,2,2023-04,2023,Monday,62640.653,17,114
Tunisie Telecom,2025-10-27,IT,Dépense,Support,21013.132,DEPT006,Rania Jebali,Centre_Etudes_Telecom,Formation_Management,2025,10,4,2025-10,2025,Monday,-21013.132,44,300
Tunisie Telecom,2024-06-03,Production,Revenu,N/A,79023.162,DEPT003,Marwen Oueslati,Libyana,Maintenance_Réseau,2024,6,2,2024-06,2024,Monday,79023.162,23,155
Tunisie Telecom,2024-03-05,Logistique,Dépense,Emballage,19353.21,DEPT008,Ali Saidi,STEG,Cotisations_Sociales,2024,3,1,2024-03,2024,Tuesday,-19353.21,10,65
Tunisie Telecom,2024-08-24,Logistique,Revenu,N/A,37068.348,DEPT008,Henda Chaabane,Ministère TIC,Projet_Fibre_2023,2024,8,3,2024-08,2024,Saturday,37068.348,34,237
Tunisie Telecom,2023-09-21,IT,Dépense,Matériel,23357.227,DEPT006,Amine Hammami,INNORPI,Séminaire_Entreprise,2023,9,3,2023-09,2023,Thursday,-23357.227,38,264
Tunisie Telecom,2023-11-06,Ressources Humaines,Dépense,Recrutement,6666.615,DEPT005,Amine Saidi,Agence_Pub_Media,Sécurité_Informatique,2023,11,4,2023-11,2023,Monday,-6666.615,45,310
Tunisie Telecom,2024-07-22,IT,Dépense,Support,20284.416,DEPT006,Hedi Saidi,Employés_TT,Campagne_4G_2023,2024,7,3,2024-07,2024,Monday,-20284.416,30,204
Tunisie Telecom,2025-03-30,Production,Dépense,Maintenance,7133.15,DEPT003,Aicha Chaabane,Employés_TT,Développement_App,2025,3,1,2025-03,2025,Sunday,-7133.15,13,89
Tunisie Telecom,2025-07-15,Production,Revenu,N/A,75157.556,DEPT003,Sana Chaabane,Tunisair,Logistique_Courrier,2025,7,3,2025-07,2025,Tuesday,75157.556,29,196
Tunisie Telecom,2023-07-08,IT,Dépense,Matériel,5310.74,DEPT006,Nader Mansouri,Université_Mannouba,Conseil_Stratégique,2023,7,3,2023-07,2023,Saturday,-5310.74,27,189
Tunisie Telecom,2025-04-28,Marketing,Revenu,N/A,67720.765,DEPT002,Anis Guesmi,STB,Création_Graphique,2025,4,2,2025-04,2025,Monday,67720.765,18,118
Tunisie Telecom,2023-02-27,IT,Revenu,N/A,34806.124,DEPT006,Aicha Ben Ali,Carthage_Cement,Campagne_4G_2023,2023,2,1,2023-02,2023,Monday,34806.124,9,58
Tunisie Telecom,2025-06-16,Marketing,Dépense,Publicité,11390.374,DEPT002,Hanen Ben Ali,Microsoft_Tunisie,Service_Bancaire_2023,2025,6,2,2025-06,2025,Monday,-11390.374,25,167
Tunisie Telecom,2023-06-10,IT,Revenu,N/A,71098.377,DEPT006,Faten Ben Salem,La Poste Tunisienne,Licences_ERP,2023,6,2,2023-06,2023,Saturday,71098.377,23,161
Tunisie Telecom,2024-12-11,IT,Dépense,Sécurité,1481.079,DEPT006,Hanen Sassi,ISG_Tunis,Stratégie_2023,2024,12,4,2024-12,2024,Wednesday,-1481.079,50,346
Tunisie Telecom,2025-02-04,Ventes,Revenu,N/A,37028.757,DEPT001,Khaled Kchaou,STB,Sécurité_Informatique,2025,2,1,2025-02,2025,Tuesday,37028.757,6,35
Tunisie Telecom,2023-10-31,R&D,Revenu,N/A,57790.69,DEPT004,Anis Jaziri,Huawei Tunisie,Support_Technique,2023,10,4,2023-10,2023,Tuesday,57790.69,44,304
Tunisie Telecom,2024-02-27,Production,Dépense,Maintenance,20400.503,DEPT003,Nadia Zouari,STEG,Déploiement_Réseau,2024,2,1,2024-02,2024,Tuesday,-20400.503,9,58
Tunisie Telecom,2025-05-27,Ventes,Dépense,Formation,19450.919,DEPT001,Yasmine Hammami,Laboratoire_Télécom_TN,Maintenance_Réseau,2025,5,2,2025-05,2025,Tuesday,-19450.919,22,147
Tunisie Telecom,2024-03-22,R&D,Revenu,N/A,35092.108,DEPT004,Nader Ben Salem,BIAT,Salon_Tech,2024,3,1,2024-03,2024,Friday,35092.108,12,82
Tunisie Telecom,2024-09-23,Ressources Humaines,Dépense,Événements internes,16257.691,DEPT005,Karim Mansouri,Cabinet_Consulting_TN,Séminaire_Entreprise,2024,9,3,2024-09,2024,Monday,-16257.691,39,267
Tunisie Telecom,2025-05-15,Logistique,Dépense,Emballage,20284.364,DEPT008,Rami Bouaziz,Agence_Events_TN,Création_Graphique,2025,5,2,2025-05,2025,Thursday,-20284.364,20,135
Tunisie Telecom,2024-08-18,IT,Dépense,Matériel,13567.508,DEPT006,Sana Nciri,Hotel_Lac_Tunis,Projet_Entreprise_2023,2024,8,3,2024-08,2024,Sunday,-13567.508,33,231
Tunisie Telecom,2024-08-05,R&D,Revenu,N/A,21496.793,DEPT004,Slim Kchaou,Amen Bank,Stratégie_2023,2024,8,3,2024-08,2024,Monday,21496.793,32,218
Tunisie Telecom,2025-12-16,Ventes,Revenu,N/A,37921.208,DEPT001,Marwa Nciri,STB,Partenariat_Recherche,2025,12,4,2025-12,2025,Tuesday,37921.208,51,350
Tunisie Telecom,2023-02-16,IT,Dépense,Cloud,14520.149,DEPT006,Karim Kchaou,INNORPI,Salon_Tech,2023,2,1,2023-02,2023,Thursday,-14520.149,7,47
Tunisie Telecom,2025-01-15,Finance,Dépense,Conseil,9273.858,DEPT007,Yasmine Guesmi,McKinsey_Tunisie,Projet_Logistique_2023,2025,1,1,2025-01,2025,Wednesday,-9273.858,3,15
Tunisie Telecom,2024-02-15,R&D,Dépense,Tests,24688.185,DEPT004,Asma Ferchichi,Entrepôt_TN_Sud,Projet_Entreprise_2023,2024,2,1,2024-02,2024,Thursday,-24688.185,7,46
Tunisie Telecom,2025-08-17,Logistique,Revenu,N/A,72238.111,DEPT008,Amel Nciri,Huawei Tunisie,Recrutement_2023,2025,8,3,2025-08,2025,Sunday,72238.111,33,229
Tunisie Telecom,2024-06-29,Finance,Dépense,Fournitures,21890.486,DEPT007,Aymen Karray,INNORPI,Fournitures_Bureau,2024,6,2,2024-06,2024,Saturday,-21890.486,26,181
Tunisie Telecom,2024-01-17,Production,Revenu,N/A,15876.995,DEPT003,Khadija Jaziri,BIAT,Contrat_International,2024,1,1,2024-01,2024,Wednesday,15876.995,3,17
Tunisie Telecom,2025-09-01,Production,Dépense,Énergie,14794.475,DEPT003,Tarek Mansouri,Total_Tunisie,Matériel_Bureau,2025,9,3,2025-09,2025,Monday,-14794.475,36,244
Tunisie Telecom,2024-05-07,Ventes,Revenu,N/A,62365.612,DEPT001,Nadia Guesmi,Tunisair,Stratégie_2023,2024,5,2,2024-05,2024,Tuesday,62365.612,19,128
Tunisie Telecom,2023-11-28,Finance,Dépense,Fournitures,4753.246,DEPT007,Leila Karray,AWS_Tunisie,Tests_Equipement,2023,11,4,2023-11,2023,Tuesday,-4753.246,48,332
Tunisie Telecom,2025-09-23,Logistique,Dépense,Carburant,23245.694,DEPT008,Amine Masmoudi,Ericsson_Services,Partenariat_Recherche,2025,9,3,2025-09,2025,Tuesday,-23245.694,39,266
Tunisie Telecom,2024-05-23,Marketing,Revenu,N/A,75941.28,DEPT002,Hanen Sassi,UBCI,Licences_ERP,2024,5,2,2024-05,2024,Thursday,75941.28,21,144
Tunisie Telecom,2025-09-29,Ressources Humaines,Dépense,Avantages,540.871,DEPT005,Youssef Mejri,Fournisseur_Câbles_TN,Projet_Fibre_2023,2025,9,3,2025-09,2025,Monday,-540.871,40,272
Tunisie Telecom,2025-04-07,Production,Dépense,Maintenance,13989.08,DEPT003,Amine Nciri,Agence_Créative_TN,Matériel_Bureau,2025,4,2,2025-04,2025,Monday,-13989.08,15,97
Tunisie Telecom,2025-03-04,Marketing,Dépense,Événements,10339.447,DEPT002,Hassan Trabelsi,Entrepôt_TN_Sud,Services_Financiers,2025,3,1,2025-03,2025,Tuesday,-10339.447,10,63
Tunisie Telecom,2023-01-03,IT,Revenu,N/A,76329.07,DEPT006,Amel Bouaziz,Union_Bancaire,Campagne_4G_2023,2023,1,1,2023-01,2023,Tuesday,76329.07,1,3
Tunisie Telecom,2024-08-30,Ventes,Dépense,Événements,13691.084,DEPT001,Imen Chaabane,Transport_TN,Service_Bancaire_2023,2024,8,3,2024-08,2024,Friday,-13691.084,35,243
Tunisie Telecom,2023-08-17,IT,Dépense,Matériel,23956.682,DEPT006,Nader Tlili,TNT_Express,Recrutement_2023,2023,8,3,2023-08,2023,Thursday,-23956.682,33,229
Tunisie Telecom,2024-05-01,Ressources Humaines,Dépense,Événements internes,5546.975,DEPT005,Marwa Mansouri,Fournisseur_Fibre_Optique,Audit_Externe,2024,5,2,2024-05,2024,Wednesday,-5546.975,18,122
Tunisie Telecom,2025-01-30,Logistique,Revenu,N/A,52209.535,DEPT008,Sonia Oueslati,STB,Projet_Fibre_2023,2025,1,1,2025-01,2025,Thursday,52209.535,5,30
Tunisie Telecom,2024-01-28,Logistique,Dépense,Stockage,6252.888,DEPT008,Nadia Hammami,Carton_Tunisie,Projet_Logistique_2023,2024,1,1,2024-01,2024,Sunday,-6252.888,4,28
Tunisie Telecom,2025-11-04,Finance,Revenu,N/A,11110.878,DEPT007,Aymen Sassi,Ooredoo Tunisie,Conseil_Stratégique,2025,11,4,2025-11,2025,Tuesday,11110.878,45,308
Tunisie Telecom,2024-08-08,IT,Revenu,N/A,37606.525,DEPT006,Sirine Ferchichi,Carthage_Cement,Commissions_Q2,2024,8,3,2024-08,2024,Thursday,37606.525,32,221
Tunisie Telecom,2025-02-20,Logistique,Dépense,Transport,8200.079,DEPT008,Tarek Nciri,Azure_Tunisie,Campagne_4G_2023,2025,2,1,2025-02,2025,Thursday,-8200.079,8,51
Tunisie Telecom,2025-12-12,R&D,Dépense,Tests,22312.923,DEPT004,Marwa Tlili,SSII_Tunisie,Service_Bancaire_2023,2025,12,4,2025-12,2025,Friday,-22312.923,50,346
Tunisie Telecom,2024-09-08,Production,Revenu,N/A,48448.78,DEPT003,Omar Karray,Amen Bank,Innovation_5G,2024,9,3,2024-09,2024,Sunday,48448.78,36,252
Tunisie Telecom,2023-12-16,IT,Revenu,N/A,78070.814,DEPT006,Sirine Karray,Ministère TIC,Carburant_Flotte,2023,12,4,2023-12,2023,Saturday,78070.814,50,350
Tunisie Telecom,2025-06-30,Marketing,Dépense,Événements,4301.18,DEPT002,Omar Sassi,Agence_Recrutement_TN,Formation_Management,2025,6,2,2025-06,2025,Monday,-4301.18,27,181
Tunisie Telecom,2023-02-14,Ressources Humaines,Revenu,N/A,76535.37,DEPT005,Rania Jaziri,Ooredoo Tunisie,Création_Graphique,2023,2,1,2023-02,2023,Tuesday,76535.37,7,45
Tunisie Telecom,2024-04-17,Ressources Humaines,Revenu,N/A,39350.542,DEPT005,Nader Chaabane,UBCI,Transformation_Digitale,2024,4,2,2024-04,2024,Wednesday,39350.542,16,108
Tunisie Telecom,2023-08-18,Ressources Humaines,Revenu,N/A,73469.067,DEPT005,Sana Oueslati,Ericsson Tunisie,Services_Titres,2023,8,3,2023-08,2023,Friday,73469.067,33,230
Tunisie Telecom,2023-10-17,Finance,Dépense,Conseil,16638.222,DEPT007,Anis Gharbi,Azure_Tunisie,Audit_Externe,2023,10,4,2023-10,2023,Tuesday,-16638.222,42,290
Tunisie Telecom,2023-05-03,Finance,Dépense,Formation,12537.187,DEPT007,Ali Mejri,STEG,Matériel_Bureau,2023,5,2,2023-05,2023,Wednesday,-12537.187,18,123
Tunisie Telecom,2024-08-06,Ressources Humaines,Dépense,Formation,20719.514,DEPT005,Tarek Oueslati,Transporteur_Logistique,Logistique_Courrier,2024,8,3,2024-08,2024,Tuesday,-20719.514,32,219
Tunisie Telecom,2023-02-13,Ressources Humaines,Dépense,Salaires,3507.19,DEPT005,Anis Guesmi,Entrepôt_TN_Sud,Salon_Tech,2023,2,1,2023-02,2023,Monday,-3507.19,7,44
Tunisie Telecom,2025-06-06,Finance,Dépense,Fournitures,16369.547,DEPT007,Nader Guesmi,Fournisseur_Fibre_Optique,Tests_Equipement,2025,6,2,2025-06,2025,Friday,-16369.547,23,157
Tunisie Telecom,2023-05-10,Marketing,Revenu,N/A,67838.161,DEPT002,Sana Saidi,Attijari Bank,Logistique_Industrielle,2023,5,2,2023-05,2023,Wednesday,67838.161,19,130
