id,produit,categorie,quantite,prix_unitaire,remise,region,date_vente,client,type_client,revenu_client,anciennete_client,canal_vente,moyen_paiement,satisfaction_client
8c7a8d3e-8675-41f3-bec0-69d829da8b1a,Imprimante,Bureautique,9,1230.02,0.18,Nabeul,2024-09-01,Caroline Hebert-Benard,Entreprise,5375.87,6,en ligne,Virement,2
476701e7-b07d-41db-a6ac-e5320a88164e,Imprimante,Électronique,4,242.82,0.04,Nabeul,2025-02-18,Julien-Guy Michel,Particulier,8437.47,9,en ligne,Espèces,1
688c9c04-d7ac-4fe9-ac36-475462024831,Tablette,Bureautique,3,1136.33,0.15,Gabès,2024-08-22,Patrick Bodin-Poirier,Particulier,6379.82,0,revendeur,Carte bancaire,2
35c9cd18-07a4-46db-8042-f240a67ed8c8,Tablette,Informatique,1,1134.41,0.09,Tunis,2025-04-10,Joseph Fischer,Particulier,4081.26,9,magasin,Virement,5
63f63d24-b434-4856-91f7-a2e714cccdc8,Tablette,Bureautique,1,1757.95,0.09,Sousse,2024-08-25,Odette Poirier,Entreprise,4030.51,7,magasin,Espèces,1
22dc3935-fe43-472a-8226-2d537a7fabb1,Téléphone,Bureautique,9,1441.31,0.18,Gabès,2024-07-02,Océane Fischer,Particulier,8509.49,10,en ligne,Espèces,2
ef5fb063-5de4-482c-bfe7-f22d1ce54eaf,Tablette,Bureautique,6,1317.02,0.06,Sousse,2025-02-02,Arthur Guillon Le Noël,Entreprise,7245.93,8,revendeur,Virement,4
c3393254-edf1-4dde-a59b-f7630a7d634c,Imprimante,Électronique,10,351.43,0.13,Gabès,2025-05-06,Agnès Peron de la Leroy,Entreprise,2381.5,5,revendeur,Carte bancaire,2
bca01b34-920b-4b20-b416-1bd56fc8ff13,Clavier,Informatique,1,466.3,0.19,Tunis,2025-05-17,Alfred Neveu-Pascal,Particulier,8688.63,10,magasin,Carte bancaire,2
d41588ac-55fd-4824-87d1-9f7c26cab081,Ordinateur,Bureautique,3,1730.79,0.2,Sfax,2025-01-23,Théodore Perret,Entreprise,4751.95,8,en ligne,Virement,1
82740b36-20a7-4401-bb53-fa6dbd71c687,Téléphone,Électronique,2,107.13,0.09,Tunis,2025-05-22,Caroline Vincent,Entreprise,5108.18,4,magasin,Chèque,5
1c3995c3-0e16-4c80-91fa-7a3b2694bcd4,Ordinateur,Bureautique,5,1418.49,0.2,Sousse,2024-07-03,Raymond Delahaye,Entreprise,4768.84,9,en ligne,Virement,4
67c4c680-b629-4c0d-b0ac-93c56a008d11,Clavier,Informatique,9,606.03,0.03,Nabeul,2025-02-08,Valentine Merle,Particulier,9791.05,5,en ligne,Chèque,3
a2390040-b3ea-4e3f-b5b9-fe3eb2c64c03,Imprimante,Bureautique,6,959.19,0.08,Tunis,2025-03-13,Frédérique-Cécile Barthelemy,Particulier,3152.14,2,en ligne,Espèces,4
ca386619-42dd-485d-93d9-32dad40a147a,Clavier,Informatique,3,598.93,0.17,Sousse,2025-03-19,William Faure du Labbé,Particulier,4508.36,3,revendeur,Carte bancaire,1
3be98117-5dc1-4027-8fe4-afdd91602569,Ordinateur,Informatique,8,1436.36,0.02,Gabès,2025-01-25,Denis Guérin,Particulier,6918.23,9,en ligne,Chèque,3
806cfff6-8118-436c-aaec-42ad96dde9df,Imprimante,Électronique,2,454.48,0.2,Sousse,2025-05-26,Stéphanie Leblanc,Entreprise,6012.18,5,en ligne,Virement,3
1b1c5f13-ac1f-44f1-9761-0a5604efabc5,Clavier,Informatique,10,892.81,0.07,Tunis,2024-12-31,Frédéric Cousin du Henry,Particulier,4950.65,1,revendeur,Espèces,4
9d6baeab-5b8c-476d-8b6b-23ff982bc702,Tablette,Bureautique,7,1525.67,0.18,Sousse,2024-07-28,Alexandria Le Rémy,Entreprise,2088.22,3,en ligne,Virement,1
fe22cdf9-0040-463f-bac4-6a78c4ed1695,Téléphone,Électronique,5,1792.43,0.07,Tunis,2025-02-07,Christelle-Nicole Lemaître,Particulier,7488.19,3,en ligne,Carte bancaire,5
cc89e9fd-afdb-4179-ae9d-84a1e30772f5,Tablette,Informatique,3,375.85,0.02,Bizerte,2024-10-19,Éric Auger-Olivier,Particulier,2052.84,7,en ligne,Espèces,3
968aedd9-8501-4c95-ba9e-52c70b113762,Tablette,Électronique,10,1585.18,0.12,Tunis,2024-08-09,Auguste-Adrien Letellier,Entreprise,6901.65,5,en ligne,Chèque,2
1a0574a1-b8e7-4d98-a4bb-4e417f1e7f38,Clavier,Électronique,10,489.36,0.15,Sfax,2025-03-30,Thibaut Durand,Particulier,6460.09,5,revendeur,Carte bancaire,5
34a1e67b-d205-4b25-878b-0ddb85b1e86d,Écran,Informatique,7,1714.25,0.05,Nabeul,2025-02-26,Éléonore Gilbert-Regnier,Particulier,4783.72,2,magasin,Virement,5
0b95fd07-eadf-48e6-9166-68f2355669e9,Clavier,Informatique,4,315.42,0.16,Bizerte,2024-09-17,Anaïs Vaillant,Particulier,3179.37,5,revendeur,Chèque,2
2aae52a0-62de-4d7b-8351-f4d19e52c675,Tablette,Bureautique,3,1897.94,0.15,Tunis,2024-09-18,Odette Guérin,Entreprise,6957.7,10,magasin,Virement,2
f725b875-11d2-4398-a21a-8eae43fe6dbb,Téléphone,Électronique,2,225.53,0.18,Gabès,2024-08-07,Thibaut Buisson,Particulier,3457.43,6,revendeur,Virement,1
23f34b80-4f98-441c-a455-cd68a742f6eb,Téléphone,Électronique,6,1052.01,0.08,Bizerte,2024-11-01,Mathilde Blondel,Particulier,1988.43,9,en ligne,Espèces,5
bf8c1cf2-f9db-4f11-b75e-dbdbea32f2b2,Ordinateur,Bureautique,7,1473.64,0.13,Sousse,2024-09-16,Sébastien Lamy de la Mercier,Entreprise,3393.46,10,en ligne,Espèces,5
c2028981-bd4f-48b3-aa6e-c7a476dc5aca,Tablette,Bureautique,6,862.84,0.13,Nabeul,2024-08-23,Adrien de la Bernard,Entreprise,7650.17,1,revendeur,Chèque,2
8783e258-fc67-4411-b3e8-d28cb524e97e,Imprimante,Informatique,9,1628.98,0.11,Sousse,2025-03-09,Patricia Parent,Particulier,5861.69,10,en ligne,Carte bancaire,5
e30766b5-0677-497f-9b29-3e28ac2104a9,Imprimante,Informatique,10,1687.17,0.06,Bizerte,2024-08-05,Christophe Arnaud-Dupré,Entreprise,4565.78,0,en ligne,Carte bancaire,3
1d2b7ea2-0478-419b-8329-669f7b60f969,Ordinateur,Électronique,9,526.74,0.07,Tunis,2024-06-26,Roland de la Masse,Entreprise,4454.23,9,en ligne,Carte bancaire,2
9d74e0cb-625a-40c3-ae9f-38f1730bf1e6,Téléphone,Informatique,7,719.09,0.02,Sfax,2024-12-02,Christelle Cohen,Entreprise,4280.47,2,en ligne,Virement,1
0f2f5a9f-6eb6-415c-be43-599c4f5bb5eb,Clavier,Informatique,10,1344.67,0.02,Sousse,2024-08-11,Patrick Lefèvre,Entreprise,8830.75,6,en ligne,Espèces,3
1bf2e315-6dd1-4a83-814f-a0fb62f109a8,Téléphone,Bureautique,1,1506.27,0.18,Bizerte,2025-05-17,Antoine Bailly,Particulier,8802.02,8,magasin,Chèque,3
c1af746f-bee6-43af-963b-7ad423b0f409,Imprimante,Électronique,9,1850.3,0.14,Bizerte,2025-03-02,Franck-Louis Letellier,Particulier,4502.97,0,en ligne,Chèque,3
296edf36-de84-45c8-86cc-83fd0602033a,Tablette,Bureautique,10,1850.8,0.02,Sousse,2025-01-24,Pierre Le Goff,Entreprise,1635.73,0,magasin,Espèces,1
e3a9b5d5-1c3a-40aa-8434-496649c3b88e,Clavier,Informatique,9,556.65,0.14,Gabès,2025-01-30,Marguerite Pruvost de Guyon,Particulier,7629.34,3,magasin,Espèces,2
d29e96dd-b176-4af8-b0b3-bfcc6c578143,Imprimante,Informatique,1,998.39,0.09,Tunis,2025-02-26,Nath Goncalves de la Maurice,Particulier,3220.07,5,en ligne,Espèces,1
d88242d5-23e9-4b90-8524-5584f7829793,Ordinateur,Bureautique,2,221.19,0.1,Bizerte,2024-07-07,Michelle Klein-Leblanc,Particulier,7256.11,4,revendeur,Virement,3
2848d125-0c4a-4b4c-b6b5-6d3e4573ef30,Imprimante,Électronique,7,1641.84,0.1,Gabès,2025-04-19,Marine Torres,Particulier,7874.11,0,en ligne,Chèque,3
8140d70f-5ff6-4980-a766-4f7a7e66f61f,Ordinateur,Bureautique,10,1940.73,0.06,Nabeul,2025-04-16,Geneviève Klein,Particulier,7998.21,10,revendeur,Chèque,1
382c4483-ec0f-4be8-a034-97b235139de0,Écran,Électronique,3,1003.94,0.14,Tunis,2024-09-19,Marianne Le Regnier,Particulier,9987.11,8,revendeur,Espèces,2
aa28eb74-9aeb-42ca-8154-286f4d5f8fe1,Ordinateur,Électronique,3,1866.02,0.05,Tunis,2025-05-18,Noémi Baudry,Entreprise,2131.89,3,magasin,Espèces,2
ec9b60db-9d37-45a4-ade8-d2accceab55a,Tablette,Bureautique,7,1753.33,0.01,Sfax,2025-06-14,Diane Buisson,Entreprise,7099.32,5,magasin,Chèque,3
514b3859-2dc0-4bb3-929b-05e0a3ba4675,Clavier,Électronique,7,853.87,0.17,Sfax,2025-06-07,Yves de Hernandez,Particulier,5011.71,6,en ligne,Virement,3
43f29b5d-e644-4152-9a40-c5de3f2f9fab,Téléphone,Électronique,4,1188.45,0.1,Gabès,2025-04-16,Noël Bertrand,Entreprise,7175.11,7,revendeur,Carte bancaire,5
526e3097-4a33-4938-8ee4-d5680843cd02,Clavier,Bureautique,7,848.7,0.04,Nabeul,2025-04-30,Claire Arnaud,Particulier,6403.31,4,magasin,Chèque,3
7440ef76-faf0-487e-b867-601a86e849e1,Imprimante,Informatique,7,1641.66,0.19,Bizerte,2024-08-17,Étienne Lombard,Entreprise,1650.16,10,magasin,Virement,3
fc6d2e8d-5907-4bed-bd79-63b02c181153,Tablette,Électronique,5,240.12,0.17,Sousse,2025-04-28,Jean-Vincent Perrot,Entreprise,7607.29,5,revendeur,Espèces,3
bd6ced38-6fb2-4d84-a175-bd37d5cf5b7a,Clavier,Électronique,1,1238.95,0.17,Nabeul,2025-04-04,Alexandria Diallo,Particulier,2932.91,0,revendeur,Carte bancaire,4
7cbb7e50-b69b-4019-bbd8-15a483a42e10,Téléphone,Informatique,1,557.25,0.02,Bizerte,2025-06-16,Inès Verdier-Cousin,Particulier,5966.17,7,en ligne,Espèces,1
4d02c255-21af-48d4-ab73-f1470e89f419,Imprimante,Électronique,5,1784.27,0.1,Bizerte,2024-10-17,Adrienne Louis,Particulier,9451.99,8,en ligne,Carte bancaire,3
ced7de41-7601-4c1b-b87f-d5e81cffbe3c,Téléphone,Bureautique,6,937.7,0.2,Nabeul,2024-09-26,Antoine Jacob,Entreprise,2240.73,0,magasin,Chèque,5
8406c79e-7505-47d5-a5ad-acc052ecc5b8,Clavier,Électronique,7,206.82,0.07,Sousse,2024-10-31,Inès Imbert,Entreprise,9237.44,2,magasin,Carte bancaire,1
a8fdafe1-9367-469a-9c81-52d89e4ed949,Écran,Électronique,6,1553.15,0.2,Sousse,2025-02-23,Roland Legros,Particulier,1516.06,0,en ligne,Carte bancaire,3
ebdcdf6a-bdbe-4894-8077-71466e8caa3b,Clavier,Informatique,5,136.25,0.03,Nabeul,2025-02-05,Bernard Diallo-Teixeira,Entreprise,8042.57,3,en ligne,Virement,4
88280469-8eef-4a67-b898-f053c5d677cd,Ordinateur,Informatique,3,1206.83,0.07,Sfax,2024-08-06,René Charpentier,Particulier,4604.58,7,magasin,Carte bancaire,4
60b96163-ac38-4d9e-b3ed-a7a7121bf5bd,Ordinateur,Bureautique,8,718.78,0.02,Sfax,2024-08-06,Luc Philippe,Particulier,1480.82,3,en ligne,Espèces,4
67228c95-360a-4588-afd4-b145b4feac07,Tablette,Électronique,5,353.93,0.13,Tunis,2024-09-29,Charlotte Blondel,Particulier,8664.22,3,en ligne,Espèces,4
39aee006-6bc5-4216-bfb5-4b17b2dc5e4f,Téléphone,Informatique,1,1094.8,0.03,Sfax,2025-05-12,Monique Vasseur,Particulier,5880.06,2,revendeur,Chèque,2
322c55ac-0001-47e8-8322-9f8ebd039756,Téléphone,Bureautique,1,672.16,0.13,Tunis,2024-07-31,Léon Diallo,Entreprise,3939.14,6,en ligne,Espèces,2
f82194f7-7b33-4447-8e5d-9e6838f38d7b,Ordinateur,Bureautique,5,605.12,0.12,Nabeul,2024-12-19,Julie Perez du Imbert,Entreprise,7734.28,5,en ligne,Espèces,3
9018cae8-71ae-4e8d-a230-570ab49c15ec,Téléphone,Électronique,1,1034.86,0.02,Tunis,2025-04-22,Lorraine Lefèvre,Particulier,7714.63,5,en ligne,Espèces,1
561d0306-7832-4b70-94ce-6124468a7bb6,Ordinateur,Informatique,7,1641.19,0.15,Nabeul,2024-10-11,Robert Dupré du Besnard,Entreprise,9093.76,5,revendeur,Virement,4
5ac19c4b-41e3-490a-8fa6-b3db7e3e0c93,Tablette,Électronique,1,1482.9,0.12,Sfax,2024-08-25,Théophile Le Leroy,Entreprise,3138.76,3,magasin,Espèces,3
6eeff4d9-dccf-41dd-8b3d-a51c0d8795b6,Tablette,Électronique,4,1619.6,0.11,Nabeul,2025-06-11,Gilles Gaillard-Faure,Entreprise,9800.7,4,revendeur,Virement,5
57372ce0-4326-46b7-803f-d32c7e4b3eb2,Ordinateur,Bureautique,9,361.02,0.17,Gabès,2024-09-13,Olivier Benoit,Particulier,8900.29,10,en ligne,Espèces,3
a6e2f9a3-13c9-44bf-b871-c2161ed95ec8,Clavier,Informatique,10,1368.38,0.16,Sfax,2024-12-30,Hortense-Camille Labbé,Entreprise,5505.44,7,revendeur,Chèque,1
7fa20bd1-e49b-4188-9520-357318c8947b,Clavier,Informatique,1,1748.19,0.16,Tunis,2024-07-27,François Gros,Particulier,5111.05,6,en ligne,Chèque,5
db96ae1a-df3c-4f7d-b785-b4b9ce01732a,Tablette,Informatique,5,1273.25,0.02,Nabeul,2024-11-28,Cécile Le Aubert,Entreprise,9801.81,5,revendeur,Virement,3
ab7dc226-9c4c-47a9-ba6f-995f89b282c5,Ordinateur,Bureautique,7,1270.52,0.18,Nabeul,2024-10-28,Agathe Torres-Guillou,Entreprise,4541.77,9,magasin,Virement,3
22f42be5-f411-49d7-98c4-5a7e8dc9cb7e,Clavier,Électronique,9,1306.68,0.01,Sousse,2025-06-01,Étienne Buisson,Entreprise,4631.47,2,magasin,Chèque,2
816bb197-8bd8-4ae7-a809-02ad28a46c2b,Tablette,Bureautique,7,1502.4,0.06,Nabeul,2024-08-04,Patrick du Goncalves,Entreprise,5333.35,2,en ligne,Carte bancaire,5
76b68554-f4b2-4a0c-a52e-190bd266a740,Tablette,Informatique,9,1911.59,0.09,Bizerte,2025-03-26,Timothée Humbert-Launay,Entreprise,9433.5,2,magasin,Virement,5
7431fc9a-f63d-412c-ad81-734a68dedffb,Écran,Bureautique,2,1898.85,0.1,Nabeul,2025-03-15,Michelle Bazin-Robert,Entreprise,7879.8,0,magasin,Virement,4
c0aba5de-ed75-4b9a-80c5-eb0d01e95956,Imprimante,Bureautique,6,693.45,0.07,Nabeul,2025-04-07,Isabelle Grégoire,Entreprise,6206.78,9,en ligne,Carte bancaire,4
bb2987c7-e211-4bb6-98c5-889bebdaf724,Ordinateur,Bureautique,5,1542.97,0.06,Bizerte,2024-07-14,Élisabeth Roux,Entreprise,9090.95,6,revendeur,Carte bancaire,1
e5e4d806-393f-4e5a-8e11-ad20eebf9fb5,Téléphone,Électronique,8,1572.85,0.11,Bizerte,2025-05-28,Stéphane Guillet,Particulier,1679.14,10,magasin,Chèque,3
8e5d397e-0318-4e2a-b958-f62d3e88e4de,Tablette,Électronique,6,806.63,0.03,Bizerte,2024-09-25,Suzanne Langlois,Entreprise,9702.94,5,magasin,Espèces,3
a67d7b5e-134e-40d0-8f4e-33aa135dc527,Tablette,Électronique,8,1419.86,0.19,Gabès,2024-08-11,Roger Olivier,Entreprise,8259.42,6,en ligne,Espèces,4
a3fe3593-7c29-472a-8dc8-be68f0273411,Ordinateur,Électronique,9,528.06,0.03,Sfax,2024-12-06,Bertrand Gomez,Particulier,4489.71,7,en ligne,Chèque,4
4fa4aa65-6932-4181-93e4-b5b248cac0e0,Ordinateur,Informatique,9,1382.3,0.08,Sousse,2024-08-31,Benoît Martineau de François,Entreprise,1382.23,7,magasin,Chèque,4
1eaf1845-c076-4afc-8e32-db77ab8c3708,Écran,Informatique,1,703.65,0.02,Gabès,2025-03-21,Odette Chevallier,Particulier,6465.24,2,magasin,Carte bancaire,2
88237688-0441-4d54-83dc-3ad409a1c5f6,Imprimante,Électronique,10,1876.27,0.14,Sousse,2024-07-20,Valérie Aubry,Entreprise,2002.08,6,en ligne,Virement,2
1eb7bb9e-28ea-44a5-9be9-8c682dc412f3,Ordinateur,Bureautique,3,1196.98,0.15,Sousse,2025-06-05,Benoît Sanchez Le Leblanc,Particulier,5785.5,0,magasin,Chèque,5
c8353674-8cbd-491a-a8dc-462caa0aee37,Écran,Informatique,7,1482.61,0.04,Sousse,2024-08-09,Julien Durand,Particulier,2080.93,9,magasin,Virement,5
7eeb9ba9-a7d3-4b9f-89ff-744be788acd6,Tablette,Électronique,2,968.05,0.13,Nabeul,2025-05-10,Stéphane Klein,Particulier,4727.52,4,revendeur,Chèque,3
2f872f33-353c-4b41-9536-640174661f9f,Clavier,Électronique,2,614.09,0.07,Sousse,2024-11-27,Élodie Roussel,Entreprise,5724.94,4,revendeur,Carte bancaire,2
d76cb7f2-b50e-47fb-84a8-63495e7f56b5,Clavier,Électronique,3,977.11,0.19,Sfax,2024-09-02,Sylvie Maillard,Particulier,8573.21,5,revendeur,Chèque,3
2c3e235e-29ec-43ad-b80c-12e9824a77ac,Ordinateur,Bureautique,10,1919.41,0.19,Nabeul,2024-12-29,Zacharie Noël,Entreprise,2373.4,0,revendeur,Chèque,3
346da9fe-300d-403b-9896-6dd6c56b15bd,Téléphone,Bureautique,5,825.07,0.15,Tunis,2024-09-19,Isaac Le Gall du Charles,Entreprise,9362.31,0,en ligne,Carte bancaire,2
287fdef5-d8f3-444e-a581-61cd9d8b3bbe,Tablette,Bureautique,4,1927.23,0.11,Bizerte,2025-02-20,Guy Picard,Particulier,5856.69,5,magasin,Carte bancaire,3
017795c4-936d-427c-9f91-eb1a2671325d,Imprimante,Bureautique,3,1669.31,0.14,Bizerte,2024-12-04,Franck Carpentier,Entreprise,1996.99,10,revendeur,Chèque,2
7dae33a3-128d-4402-8473-2c5dbb79f6d0,Écran,Informatique,6,478.46,0.03,Sousse,2025-06-08,William-Christophe Chauvin,Entreprise,1455.86,4,magasin,Carte bancaire,5
94c24e4e-6359-4cf1-b4fe-d86044e4def7,Imprimante,Bureautique,10,541.94,0.07,Sousse,2025-05-23,Élisabeth Ferrand,Entreprise,5750.49,9,magasin,Virement,2
1f22f506-0d4c-4b87-95d3-dc6355591936,Tablette,Bureautique,9,103.11,0.05,Nabeul,2024-09-15,Arthur Mace,Entreprise,2165.49,1,magasin,Virement,1
8463e843-ffd9-4927-a561-3561fc54d136,Écran,Électronique,5,1215.04,0.13,Gabès,2024-11-16,Thibaut Masse,Entreprise,8335.6,10,magasin,Virement,5
b0165fae-38f9-42aa-91b1-44db6f019bda,Écran,Bureautique,4,1974.4,0.05,Gabès,2024-06-23,Jacques Mercier,Particulier,7430.33,9,en ligne,Virement,5
ebcb9cf1-8db2-4de3-a558-78a7f184950a,Clavier,Électronique,6,1422.66,0.15,Gabès,2024-11-07,Honoré Le Meyer,Entreprise,8946.25,6,en ligne,Chèque,5
cfff61a5-9123-469d-8805-5ee9c5efa0c8,Clavier,Bureautique,2,709.91,0.11,Sfax,2025-01-20,Laure Chartier,Entreprise,8529.54,3,en ligne,Carte bancaire,1
c4875a67-933e-4eaa-9f5a-399bedfeb9c0,Écran,Électronique,2,947.96,0.06,Tunis,2025-05-22,Véronique-Corinne Roussel,Entreprise,2937.6,10,en ligne,Virement,5
f3d27e25-4f4a-4f81-a1a0-680111c98631,Imprimante,Électronique,8,1750.56,0.18,Sfax,2024-11-24,Daniel-Louis Brunel,Entreprise,6237.17,7,revendeur,Chèque,2
c548fbd5-5779-4ca9-897a-cc4fcebdb50f,Écran,Bureautique,2,1659.13,0.16,Sfax,2024-10-10,Jean Garnier,Particulier,7197.97,0,magasin,Chèque,2
c80428e5-6fe0-4fef-9b17-b7d6b643f92a,Clavier,Bureautique,3,1788.78,0.1,Bizerte,2024-10-14,Marguerite Daniel-Rey,Entreprise,1784.01,6,revendeur,Chèque,2
f1a2ce36-9c48-40c1-91b7-0bdea66d9ca7,Écran,Électronique,6,656.35,0.1,Bizerte,2025-03-20,Philippine Marchal Le Alves,Entreprise,3687.69,4,magasin,Espèces,1
a9028d13-8ad2-4d29-bd22-e04614eadff2,Ordinateur,Bureautique,8,887.87,0.14,Sousse,2025-04-11,Eugène-Lucas Étienne,Entreprise,1777.15,1,magasin,Chèque,1
046fd54d-53f2-4dc9-a159-03191bb85243,Ordinateur,Bureautique,9,384.51,0.02,Sfax,2025-06-06,Étienne-Bertrand Imbert,Entreprise,1315.65,0,revendeur,Espèces,5
bedf9f82-def4-4455-a245-9d2f9814b227,Écran,Électronique,9,1154.24,0.06,Tunis,2025-03-05,Colette Mahe,Particulier,7019.66,7,magasin,Espèces,1
c816b996-5f3a-4bc8-8f4c-6a038c66a323,Téléphone,Bureautique,8,1974.21,0.17,Sfax,2024-09-08,Martin Morin,Particulier,4860.79,4,revendeur,Carte bancaire,5
de12cb47-cb24-43dc-92e1-9ef54a7e0b5f,Ordinateur,Informatique,3,949.48,0.18,Nabeul,2025-03-30,Hortense Pons,Particulier,4678.61,0,revendeur,Carte bancaire,2
2bdaebb3-5c4d-40be-a41e-2c6f1a82d6aa,Écran,Électronique,4,389.77,0.11,Gabès,2025-05-20,Guy Munoz,Entreprise,8351.66,0,revendeur,Carte bancaire,4
52344ee6-8b55-4fae-b68d-c0a13b4cd32a,Écran,Bureautique,5,1183.21,0.04,Nabeul,2025-01-17,Olivie Gomes,Entreprise,4629.13,10,magasin,Virement,2
dcb61396-5e84-41cd-8a0c-b76929307523,Écran,Électronique,1,1645.36,0.17,Nabeul,2024-07-06,Juliette Antoine,Particulier,3122.28,2,magasin,Virement,2
8cfa0520-59ef-4eaa-8b56-d67741368ac6,Ordinateur,Électronique,5,1135.57,0.17,Sousse,2024-12-18,Patrick Huet,Particulier,7098.85,7,en ligne,Espèces,2
89a9c17c-79d8-409b-930f-4a28ea6f091b,Clavier,Électronique,9,393.37,0.14,Bizerte,2024-12-24,Hugues de la Leblanc,Entreprise,4972.03,8,revendeur,Chèque,4
30f7003e-e67a-4aa9-a57c-62242ea6ac67,Imprimante,Bureautique,8,1719.05,0.16,Bizerte,2025-05-19,Laurence Bourdon,Particulier,8420.44,9,en ligne,Virement,5
2b083d6d-0106-4886-bdad-3619261b42e0,Ordinateur,Électronique,3,1557.17,0.1,Gabès,2025-02-05,Audrey de la Pascal,Entreprise,5592.76,9,revendeur,Chèque,3
87167e10-ee04-4833-b0a8-1aaea536c892,Tablette,Bureautique,3,1511.64,0.13,Gabès,2024-08-22,Anouk Dias,Particulier,6257.28,9,revendeur,Virement,2
3d547982-ce4c-4b2a-8d5d-8b14869228fa,Imprimante,Bureautique,4,930.43,0.06,Gabès,2025-01-23,Aurélie Coulon,Particulier,7572.75,9,magasin,Virement,5
644bfb5f-a913-42e2-bd12-048ffc9c1208,Téléphone,Informatique,10,1400.58,0.19,Bizerte,2025-04-30,Pierre-Franck Pascal,Particulier,2549.85,5,revendeur,Espèces,2
9fe9d9eb-3ee3-4ce0-916a-23f64c61bca9,Clavier,Électronique,4,179.36,0.06,Tunis,2024-12-19,Josette Lopes Le Perrier,Entreprise,5635.53,3,revendeur,Carte bancaire,5
2389f1d2-9423-4216-bafa-2039a08aa6a1,Imprimante,Bureautique,1,1559.75,0.13,Gabès,2025-06-06,Virginie de Alves,Particulier,6001.94,8,magasin,Chèque,1
5b103c58-cf82-4fe7-8cdb-bbaebc5387d8,Téléphone,Électronique,8,1820.67,0.08,Nabeul,2024-09-04,Martine Sauvage du Fischer,Entreprise,5027.97,5,en ligne,Espèces,5
841f2b75-7ce5-44f7-b851-22d1c1d5d8ef,Écran,Électronique,2,1231.77,0.08,Sfax,2025-04-07,Michelle Guillot,Entreprise,7246.72,6,magasin,Espèces,1
0f7c4014-4d97-474b-9777-2f9931fbda86,Écran,Bureautique,8,1298.93,0.04,Bizerte,2025-01-24,Sabine de la Ruiz,Entreprise,4256.26,2,magasin,Chèque,5
a39b31fb-281c-4d87-9903-dcf0c37dd192,Téléphone,Informatique,5,750.04,0.09,Gabès,2024-08-11,Sébastien Delannoy,Entreprise,6127.68,10,magasin,Virement,4
d627b372-cb60-4353-b3d9-2701cb2cc95a,Tablette,Bureautique,10,225.04,0.12,Bizerte,2025-04-14,Grégoire Chevalier-Ferreira,Entreprise,2068.22,4,revendeur,Virement,3
fc74bdc4-9539-4900-82bd-37ec3f44d333,Clavier,Informatique,5,1255.0,0.06,Gabès,2025-03-10,Alphonse Coste,Particulier,1847.5,6,revendeur,Chèque,3
3a88b48f-d00f-4588-b70b-a106d85f718f,Téléphone,Informatique,3,1121.65,0.1,Bizerte,2025-02-19,Gérard Renaud,Particulier,2271.12,10,magasin,Virement,1
51d15528-fdfd-4804-9730-d9be0ec66bb7,Téléphone,Bureautique,6,1911.03,0.09,Gabès,2025-03-13,Sabine Besson,Entreprise,8528.39,6,en ligne,Carte bancaire,4
bf6b551b-924d-4639-b3e2-43cb4dc56c28,Clavier,Électronique,1,1888.71,0.12,Tunis,2025-06-09,Audrey Roy du Hernandez,Particulier,9866.74,2,en ligne,Espèces,2
